outlier
7|13820:
9|16600:16940:17260:17600:18120:
11|21700:21890:22060:22040:
12|22540:22560:22880:23200:23220:23240:23560:24040:24060:24380:24400:
34|68960:68980:
35|71000:71020:
37|73840:73900:74400:75080:
38|75780:76780:76960:
39|78660:79160:
40|80020:80700:81200:
41|82240:82920:83240:
42|83940:84620:85620:
61|123120:
86|173620:174020:174340:174680:174820:175100:
87|175720:176040:176060:176380:176720:176740:177220:
88|177760:178100:178420:178760:179260:
89|179800:180120:180140:180440:180460:180800:181300:
90|181720:181740:181840:182160:182180:182500:182840:183340:
91|183880:183900:184200:184560:184580:184880:185020:185380:185580:
92|185920:186260:186580:186940:187060:187420:
95|193120:
